year,production,area,yield,rainfall,temperature,carbon
1993,84519.0,54757.0,1.543528681264496,758.825,20.445585483020864,0.8196
1994,76195.0,55274.0,1.3784962188370662,727.775,19.694189608360208,1.459
1995,76052.0,59726.0,1.2733482905267388,864.275,19.82899379968893,1.417
1996,135627.0,61467.0,2.2065010493435504,1031.0749999999998,19.618719493447372,1.1347
1997,108207.0,60905.0,1.7766521632049914,999.5,19.512613080113482,1.1558
1998,125205.0,65149.0,1.9218253541880919,1008.175,19.87496776445146,1.178
1999,107340.0,55969.0,1.917847379799532,962.225,19.996664808448894,1.2647
2000,112779.0,68533.0,1.645615980622474,1502.925,18.681886363636362,1.097
2001,82536.0,57851.0,1.426699624898446,998.5249999995,19.49704545454545,1.1115
2002,67939.0,67898.0,1.000603846946891,654.4749999999999,19.497999999999998,1.0817
2003,69273.0,67682.0,1.0235069885641677,678.6124999995001,20.812272727272727,1.0037
2004,77540.0,54470.0,1.423535891316321,975.50625,18.81261904761905,0.9931
2005,68565.0,56265.0,1.2186083711010398,746.9499999999999,19.586458333333333,0.9897
2006,65836.0,46973.0,1.4015711153215678,1109.03125,19.568851300987934,0.998
2007,46604.0,47409.0,0.9830201016684595,1005.2625000000002,20.19933982683983,1.0319
2008,61994.0,60355.0,1.0271559937039185,782.8750000000001,20.42257575757576,1.0128
2009,70672.0,52455.0,1.3472881517491182,1081.59375,19.775666666666666,1.0491
2010,75068.0,58334.0,1.2868652929680804,1025.25,19.937474747474745,0.8551
2011,82057.0,70344.0,1.1665102922779484,832.0,20.644757575757577,0.8188
2012,76091.0,56064.0,1.3572167522831051,911.325,23.174848484848486,0.8104
2013,81934.0,61260.0,1.3374795951681357,1104.25,19.451666666666668,0.9622
2014,101041.0,86754.0,1.1646840491504715,760.0250000000001,22.229166666666664,0.9823
2015,81623.0,87164.0,0.9364301775962554,603.45,20.49854166666667,1.0206
2016,33460.0,46040.0,0.7267593397046047,740.45,21.199111111111115,1.1207
2017,84344.0,69931.0,1.2061031588279876,900.9000000000001,20.006527777777777,1.11
2018,98220.0,80965.0,1.2131167788550608,984.95,20.1182196969697,1.1101
2019,95988.0,70172.0,1.3678960269053184,822.7250000000001,20.56066666666667,1.1738
2020,86547.90000000001,77189.2,1.1212436454840835,882.5250000000001,22.22742424242424,1.155
2021,100041.6,70869.6634920635,1.4116279811488508,1250.35,19.43792857142857,1.2458
2022,127315.43,74798.97,1.7021013792034836,1040.1999999999998,19.483666666666664,1.3526
2023,85201.54,71308.6,1.1948283937701762,884.8999999999999,19.766499999999997,1.3902
